path,stream,bytes,sha256,source_url,archive_sha256,download_date
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,S-,19798721,26a1ee080da4db98e175e15d6fec631e6f8c285c13817d9d74ecc90ed280d103,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,V-,22507823,ecf977cb798082d59ad1b03ce5631a61dbf525dfe484eb005ca630b5e95b86af,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,S-,9631499,e79a2eea18143b825438f9a11c7d724a97c9e18329776defd4d9291d03d4aaca,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/V-S1.csv,V-,10967129,29e92ed9bcb2d711e651246675c435b3f9499c040cfcad367624e8720c0dc891,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,S-,17469302,8f48d68ef4ab225c8381af6fb8ec0f36fe6f6048977eeebecc74cfec50d13cb8,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,V-,20091681,0514c4dd38fe24dd7e196ee206b880f4ccd984a255b80e6de984839bce40952c,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,S-,4580130,b9e45dc8d856271f0a69030b7dd98f32c6b6b88b627138d67e8d3a1b7c5329fe,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/V-S3a.csv,V-,5286764,1cac1c8045c4f85423f01425881dd7e6814ae167100590c988a5ef141eb9e73f,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,S-,1253565,19447009a96bd80bb896f3a728283ae2990d94b4cf1ed37f69866ed78ca36901,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/V-S3b.csv,V-,1464196,d44d29d46b7c46c574cdc90d5633cc90ac1b9cee57fb7f6b90d865aecc14ff64,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,S-,6881631,b87fa6978d7d50087ca63bfee5230692013485aaccef5474dbc847a9c1498739,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/V-S3c.csv,V-,7976092,d7a98f02899d331265eb0b892e44d343892ad6ec9dcb1e90ce6c6f80b264c0f3,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,S-,17574514,a2bb1e1eb28d111f84963240c54b790f32366f6c5b09dff1713770b52d3f5616,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/V-S4.csv,V-,20164189,8a83103ce0f0b03ffc5adc772193c6738d1df3ac8f0fb4bab055597ac5bcd2c2,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/S-Vfa01.csv,S-,2134667,7f46f770cd49c85185446420bc10db9e7a9ffe4aa190e3b1cc1111220eab04b2,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/V-Vfa01.csv,V-,2398099,81ad22765340419e1ea88e69e2a92dc38c260f244c5aeb951c88fb668908ad37,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/S-Vfa02.csv,S-,12603657,ec666af90866254a55578f4e9371860b64602cad0694b02defcc56eec5d85a44,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/V-Vfa02.csv,V-,13955001,bce837348c306ba343b36f2d44878f0ac1e68ada3c2852bba50056749f40ca7d,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/S-Vta1a.csv,S-,4766740,19b9d26888e58c71e28ca6de34dd423e9a779a29b1cf0976d3b2f4f7dac56601,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/V-Vta1a.csv,V-,5444513,9522a6f43094ef5de4cfad4bb48a7805c8f470eee3b481564f5cacef28e2afec,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/S-Vta1b.csv,S-,178260,aca49109fc93729d942d13e2008699ac4471fcffae38396127fffaecbe42d5d7,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/V-Vta1b.csv,V-,205277,35b4e74bd1597d9f82895c3451dbe71a2d4084a3718cbdf8ea7fbb04f206db94,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/S-Vta2.csv,S-,2038713,97ef388d6e5cc3ce17ae3d56d69c77052e5d51a6234176eb95a5e4de6cec7fe5,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/V-vta2.csv,V-,2307461,e7d255100464c70212aa0129e558b7a48d59d606041c8ce2e160e881f9b151e2,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/S-Vta3.csv,S-,116809,7c5479fc893131a8c4d75daf73c3b5ae25512a1e194a6ced50fa24633de0f215,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/V-vta3.csv,V-,137891,ef8bf81fdf5df786006e5805dbe09c29c71447cd274991bf47371c28c0f3c19f,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/S-Vta4.csv,S-,331302,0d16cd6deaddf30a98461a546ce47621f4b57fa3fd902623765bad1dd83c0887,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/V-vta4.csv,V-,380874,71acb4e5c50919df05f1f56a0192d392793e9b10e66bbf6a101b6314ee398c33,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/S-Vta5.csv,S-,57485,b9030167541be560621a7aa9ef6a89710cb666ec47ad204f65cb1d96f7606fa0,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/V-vta5.csv,V-,66401,6819d97f1291b377496982e51f5ba2178a083edaf8664b9258ead5e1151d33a2,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/S-Vta6.csv,S-,254665,15ad54e093b7ff783a88db02952fe634ba5b640173c93462d28152f71dcfa8a5,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/V-vta6.csv,V-,289249,728629ca2a30457e7909e79c6a50040a1337274b7ada2003b2863e62a40c547a,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/S-Vta7.csv,S-,155360,eb6e66dbb3397aea7af0c93fe212e9ca0fc8310341083ce64652fe7842248acf,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/V-vta7.csv,V-,179784,031765759d3336fa67fd8c6b98fdfb3a5786d284a5626734375ec61fe8f63e4d,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
IO-VNBD/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta08/S-Vta8.csv,S-,678900,cc1b57b0b539f1e756662c49ff4c4925d66e44396ad283e4d5fa472024675dec,https://github.com/onyekpeu/IO-VNBD (git-lfs: 'Synchronised V abd S datasets.zip'),624003b0bfb3d221114eb262dd02f21f7dba74fb25d8045b4b8ac684956d2855,2026-08-27
